time,coin,dir,px,sz,ntl,fee,closedPnl
16/11/2025 - 14:12:54,BTC,Open Long,95735,0.00197,188.59795,0.028289,-0.028289
16/11/2025 - 14:13:24,BTC,Open Long,95735,0.00427,408.78845,0.061318,-0.061318
16/11/2025 - 14:18:54,DOGE,Open Short,0.16144,1486,239.89984,0.035984,-0.035984
16/11/2025 - 14:21:36,DOGE,Close Short,0.16142,240,38.7408,0.017433,-0.012633000000000002
16/11/2025 - 14:29:47,BTC,Close Long,95354,0.00624,595.00896,0.267754,-2.645194
16/11/2025 - 14:38:09,DOGE,Close Short,0.1606,1246,200.1076,0.090048,0.956592
16/11/2025 - 14:51:43,BTC,Open Long,95297,0.00504,480.29688000000004,0.072044,-0.072044
16/11/2025 - 14:51:47,BTC,Open Long,95297,0.00125,119.12125,0.017868,-0.017868
16/11/2025 - 15:01:29,ETH,Open Long,3158.4,0.02,63.168000000000006,0.009475,-0.009475
16/11/2025 - 15:02:11,ETH,Open Long,3158.4,0.0063,19.89792,0.002984,-0.002984
16/11/2025 - 15:06:15,ETH,Open Long,3158.4,0.1709,539.77056,0.080965,-0.080965
16/11/2025 - 15:21:20,BTC,Close Long,95310,0.00629,599.4998999999999,0.269774,-0.188004
16/11/2025 - 15:21:20,ETH,Close Long,3158.3,0.1972,622.81676,0.280267,-0.299987
16/11/2025 - 21:42:41,DOGE,Open Short,0.1569,3175,498.1575,0.074723,-0.074723
16/11/2025 - 22:27:04,DOGE,Close Short,0.15501,3175,492.15675000000005,0.22147,5.77928
16/11/2025 - 22:30:37,BNB,Open Long,912.64,0.128,116.81792,0.017522,-0.017522
16/11/2025 - 22:30:37,BNB,Open Long,912.64,0.132,120.46848,0.01807,-0.01807
16/11/2025 - 22:30:43,BNB,Open Long,912.64,0.017,15.514880000000002,0.002327,-0.002327
16/11/2025 - 22:35:55,BNB,Open Long,912.64,0.196,178.87744,0.026831,-0.026831
17/11/2025 - 01:30:17,BNB,Close Long,931.23,0.473,440.47179,0.198212,8.594858
17/11/2025 - 02:51:44,ETH,Open Short,3123.6,0.0647,202.09691999999998,0.030314,-0.030314
17/11/2025 - 03:11:01,ETH,Close Short,3137.9023183926,0.0647,203.02228000000122,0.091351,-1.0169110000000001
17/11/2025 - 03:17:01,BTC,Open Short,95255,0.00211,200.98805,0.030148,-0.030148
17/11/2025 - 04:23:10,SOL,Open Short,140,0.36,50.4,0.007559,-0.007559
17/11/2025 - 04:23:14,SOL,Open Short,140,0.71,99.39999999999999,0.014909,-0.014909
17/11/2025 - 04:23:47,SOL,Open Short,140,0.36,50.4,0.007559,-0.007559
17/11/2025 - 04:24:11,SOL,Open Short,140,1.42,198.79999999999998,0.029819,-0.029819
17/11/2025 - 06:07:25,BNB,Open Short,936.25,0.069,64.60125000000001,0.00969,-0.00969
17/11/2025 - 06:21:25,BNB,Open Short,936.25,0.006,5.6175,0.000842,-0.000842
17/11/2025 - 07:11:14,BNB,Close Short,934.15,0.032,29.8928,0.004483,0.062717
17/11/2025 - 07:12:16,BNB,Close Short,934.15,0.017,15.880550000000001,0.002382,0.033318
17/11/2025 - 07:12:23,BNB,Short > Long,934.15,0.103,96.21744999999999,0.014432,0.040168
17/11/2025 - 07:14:00,BNB,Open Long,934.15,0.019,17.748849999999997,0.002662,-0.002662
17/11/2025 - 07:16:51,BNB,Open Long,934.15,0.045,42.03675,0.006305,-0.006305
17/11/2025 - 07:55:50,BNB,Close Long,934.91,0.017,15.89347,0.002384,0.010536
17/11/2025 - 07:55:57,BNB,Close Long,934.91,0.058,54.22478,0.008133,0.035947
17/11/2025 - 09:48:13,ETH,Open Long,3189.5,0.1262,402.5149,0.060377,-0.060377
17/11/2025 - 12:23:06,SOL,Close Short,141.8940701754,2.85,404.39809999989,0.181978,-5.580078
17/11/2025 - 12:23:06,BTC,Close Short,95694,0.00211,201.91433999999998,0.090861,-1.017151
17/11/2025 - 12:23:06,ETH,Close Long,3201,0.1262,403.9662,0.181784,1.269516
17/11/2025 - 12:23:06,BNB,Close Long,937.03,0.066,61.84398,0.027829,0.162251
18/11/2025 - 01:39:58,BTC,Open Long,91756,0.16083,14757.11748,2.213567,-2.213567
18/11/2025 - 01:40:48,BTC,Close Long,91628.5807374246,0.16083,14736.62464,6.631478,-27.124318000000002
18/11/2025 - 02:11:09,BTC,Open Short,92113,0.00021,19.34373,0.002901,-0.002901
18/11/2025 - 02:11:14,BTC,Open Short,92113,0.00243,223.83459,0.033575,-0.033575
18/11/2025 - 03:59:17,BTC,Close Short,90855,0.00264,239.8572,0.107935,3.213185
18/11/2025 - 04:01:52,BNB,Open Long,902.66,0.026,23.46916,0.00352,-0.00352
18/11/2025 - 04:01:55,BNB,Open Long,902.66,0.244,220.24903999999998,0.033037,-0.033037
18/11/2025 - 04:01:56,BNB,Close Long,899.24,0.27,242.7948,0.109257,-1.032657
18/11/2025 - 04:09:00,BNB,Open Short,898.02,0.956,858.50712,0.128776,-0.128776
18/11/2025 - 04:09:00,BNB,Open Short,898.02,0.474,425.66148,0.063849,-0.063849
18/11/2025 - 08:15:16,ETH,Open Long,2970.1,0.0198,58.80798,0.008821,-0.008821
18/11/2025 - 08:17:18,ETH,Open Long,2970.1,0.0058,17.22658,0.002583,-0.002583
18/11/2025 - 08:17:20,ETH,Open Long,2970.1,0.0052,15.444519999999999,0.002316,-0.002316
18/11/2025 - 08:18:14,ETH,Open Long,2970.1,0.01,29.701,0.004455,-0.004455
18/11/2025 - 08:19:46,ETH,Open Long,2970.1,0.006,17.8206,0.002673,-0.002673
18/11/2025 - 08:22:40,ETH,Open Long,2970.1,0.02,59.402,0.008909,-0.008909
18/11/2025 - 08:22:45,ETH,Open Long,2970.1,0.0054,16.03854,0.002405,-0.002405
18/11/2025 - 08:22:54,ETH,Open Long,2970.1,0.0056,16.632559999999998,0.002494,-0.002494
18/11/2025 - 08:23:31,ETH,Open Long,2970.1,0.0051,15.14751,0.002272,-0.002272
18/11/2025 - 08:23:35,ETH,Open Long,2970.1,0.0062,18.41462,0.002762,-0.002762
18/11/2025 - 08:27:15,ETH,Open Long,2970.1,0.0062,18.41462,0.002762,-0.002762
18/11/2025 - 08:29:44,ETH,Open Long,2970.1,0.01,29.701,0.004455,-0.004455
18/11/2025 - 08:32:23,ETH,Open Long,2970.1,0.01,29.701,0.004455,-0.004455
18/11/2025 - 08:37:54,DOGE,Open Short,0.15517,1544,239.58248,0.035937,-0.035937
18/11/2025 - 08:42:03,ETH,Close Long,2985.8,0.1153,344.26274,0.154918,1.6552920000000002
18/11/2025 - 08:47:12,SOL,Open Short,136.23,0.34,46.3182,0.006947,-0.006947
18/11/2025 - 08:47:46,SOL,Open Short,136.23,0.42,57.21659999999999,0.008582,-0.008582
